state	ident	;	[	]	void	bool	int	float	(	)	,	{	}	if	else	for	while	return	break	=	|	!	<	>	&	+	-	*	/	%	bool_lit	int_lit	float_lit	$
123	error	s138	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
124	s48	s42	error	error	error	error	error	error	s62	error	error	s26	error	s43	error	s51	s50	s46	s47	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
125	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s140	error	error	error	error	error	error	error	error	error	error	error	error	error	error
126	error	r71	error	r71	error	error	error	error	error	r71	r71	error	error	error	error	error	error	error	error	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	error	error	error	error
127	error	r72	error	r72	error	error	error	error	error	r72	r72	error	error	error	error	error	error	error	error	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	error	error	error	error
128	s48	error	error	error	error	error	error	error	s62	error	error	error	error	error	error	error	error	error	error	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
129	error	r45	error	r45	error	error	error	error	error	r45	r45	error	error	error	error	error	error	error	error	s81	r45	s82	error	error	error	error	error	error	error	error	error	error	error	error
130	s48	s42	error	error	error	error	error	error	s62	error	error	s26	error	s43	error	s51	s50	s46	s47	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
131	s48	error	error	error	error	error	error	error	s62	error	error	error	error	error	error	error	error	error	error	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
132	error	r47	error	r47	error	error	error	error	error	r47	r47	error	error	error	error	error	error	error	error	r47	r47	r47	s83	s84	error	error	error	error	error	error	error	error	error	error
133	error	r48	error	r48	error	error	error	error	error	r48	r48	error	error	error	error	error	error	error	error	r48	r48	r48	s83	s84	error	error	error	error	error	error	error	error	error	error
134	error	r50	error	r50	error	error	error	error	error	r50	r50	error	error	error	error	error	error	error	error	r50	r50	r50	r50	r50	s85	error	error	error	error	error	error	error	error	error
135	error	r51	error	r51	error	error	error	error	error	r51	r51	error	error	error	error	error	error	error	error	r51	r51	r51	r51	r51	s85	error	error	error	error	error	error	error	error	error
136	error	r55	error	r55	error	error	error	error	error	r55	r55	error	error	error	error	error	error	error	error	r55	r55	r55	r55	r55	r55	s86	s87	error	error	error	error	error	error	error
137	error	error	error	s126	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
138	r22	r22	error	error	r22	r22	r22	r22	r22	error	error	r22	r22	r22	r22	r22	r22	r22	r22	error	error	r22	error	error	error	r22	r22	error	error	error	r22	r22	r22	r22
139	r34	r34	error	error	error	error	error	error	r34	error	error	r34	r34	r34	s145	r34	r34	r34	r34	error	error	r34	error	error	error	r34	r34	error	error	error	r34	r34	r34	error
140	s92	error	error	error	error	error	error	error	s62	error	error	error	error	error	error	error	error	error	error	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
141	error	error	error	error	error	error	error	error	error	r80	r80	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
142	r38	r38	error	error	error	error	error	error	r38	error	error	r38	r38	r38	r38	r38	r38	r38	r38	error	error	r38	error	error	error	r38	r38	error	error	error	r38	r38	r38	error
143	error	s147	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
144	r32	r32	error	error	error	error	error	error	r32	error	error	r32	r32	r32	r32	r32	r32	r32	r32	error	error	r32	error	error	error	r32	r32	error	error	error	r32	r32	r32	error
145	s48	s42	error	error	error	error	error	error	s62	error	error	s26	error	s43	error	s51	s50	s46	s47	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
146	error	r43	error	error	error	error	error	error	error	r43	r43	error	error	error	error	error	error	error	error	error	s78	error	error	error	error	error	error	error	error	error	error	error	error	error
147	s48	error	error	error	error	error	error	error	s62	error	error	error	error	error	error	error	error	error	error	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
148	r33	r33	error	error	error	error	error	error	r33	error	error	r33	r33	r33	r33	r33	r33	r33	r33	error	error	r33	error	error	error	r33	r33	error	error	error	r33	r33	r33	error
149	error	error	error	error	error	error	error	error	error	s150	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
150	s48	s42	error	error	error	error	error	error	s62	error	error	s26	error	s43	error	s51	s50	s46	s47	error	error	s58	error	error	error	s60	s59	error	error	error	s65	s66	s67	error
151	r37	r37	error	error	error	error	error	error	r37	error	error	r37	r37	r37	r37	r37	r37	r37	r37	error	error	r37	error	error	error	r37	r37	error	error	error	r37	r37	r37	error
